"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
03/29/2013,16:00,1.3019,1.3138,1.2802,1.2867,1221844,0.001697,0.007817,-0.006120,41.72,13.22,14.99,1.3248,1.2952,0.0381,0.0085,22,0,0
04/05/2013,16:00,1.2863,1.3091,1.2795,1.3063,1275691,0.000909,0.006435,-0.005526,48.19,16.70,15.27,1.3201,1.2947,0.0138,0.0116,23,0,0
04/12/2013,16:00,1.3043,1.3189,1.3019,1.3129,1126155,0.000807,0.005309,-0.004503,50.20,22.79,17.57,1.3142,1.2942,0.0013,0.0187,24,0,0
04/19/2013,16:00,1.3157,1.3252,1.3050,1.3110,1393696,0.000566,0.004361,-0.003794,49.60,31.25,23.58,1.3110,1.2940,0.0000,0.0170,25,0,0
04/26/2013,16:00,1.3117,1.3142,1.3003,1.3077,1184107,0.000108,0.003510,-0.003402,48.53,31.73,28.59,1.3076,1.2942,0.0001,0.0135,26,0,0
05/03/2013,16:00,1.3105,1.3292,1.3079,1.3157,1430401,0.000386,0.002886,-0.002499,51.29,32.69,31.89,1.3068,1.2948,0.0089,0.0209,27,0,0
05/10/2013,16:00,1.3165,1.3242,1.2982,1.3030,1136758,-0.000413,0.002226,-0.002639,46.98,30.55,31.66,1.3063,1.2956,0.0033,0.0074,28,0,0
05/17/2013,16:00,1.3023,1.3076,1.2842,1.2875,1314635,-0.002271,0.001326,-0.003598,42.31,25.21,29.48,1.3045,1.2963,0.0170,0.0088,29,0,0
05/24/2013,16:00,1.2892,1.3044,1.2866,1.2963,1416507,-0.002999,0.000461,-0.003461,45.61,20.07,25.28,1.3031,1.2971,0.0068,0.0008,30,0,0
05/31/2013,16:00,1.2978,1.3107,1.2883,1.3027,1215805,-0.003025,-0.000236,-0.002789,47.95,23.19,22.82,1.3030,1.2977,0.0003,0.0050,31,0,0
06/07/2013,16:00,1.3035,1.3351,1.3000,1.3268,1551110,-0.001088,-0.000407,-0.000682,55.67,47.45,30.23,1.3070,1.2989,0.0198,0.0279,32,0,0
06/14/2013,16:00,1.3254,1.3441,1.3227,1.3390,586663,0.001415,-0.000042,0.001457,58.99,72.79,47.81,1.3103,1.3002,0.0287,0.0388,33,0,0
06/21/2013,16:00,1.3400,1.3467,1.3147,1.3189,1273716,0.001756,0.000317,0.001439,52.08,78.01,66.08,1.3109,1.3018,0.0080,0.0171,34,0,0
06/28/2013,16:00,1.3156,1.3199,1.3031,1.3066,1296017,0.001023,0.000459,0.000564,48.34,63.32,71.37,1.3104,1.3033,0.0038,0.0033,35,0,0
07/05/2013,16:00,1.3057,1.3125,1.2851,1.2876,1121833,-0.001079,0.000151,-0.001230,43.19,37.00,59.45,1.3084,1.3045,0.0208,0.0169,36,0,0
07/12/2013,16:00,1.2870,1.3255,1.2798,1.3106,1364802,-0.000879,-0.000055,-0.000824,50.12,32.79,44.37,1.3079,1.3059,0.0027,0.0047,37,0,0
07/19/2013,16:00,1.3112,1.3228,1.3039,1.3182,974763,-0.000106,-0.000065,-0.000041,52.19,38.46,36.08,1.3094,1.3074,0.0088,0.0108,38,0,0
07/26/2013,16:00,1.3184,1.3343,1.3183,1.3322,948596,0.001618,0.000271,0.001346,55.84,60.59,43.94,1.3139,1.3093,0.0183,0.0229,39,0,0
08/02/2013,16:00,1.3327,1.3390,1.3230,1.3331,1182509,0.003022,0.000821,0.002200,56.07,71.80,56.95,1.3176,1.3111,0.0155,0.0220,40,0,0
08/09/2013,16:00,1.3329,1.3445,1.3277,1.3385,906860,0.004518,0.001561,0.002957,57.51,81.91,71.43,1.3211,1.3127,0.0174,0.0258,41,0,0
08/16/2013,16:00,1.3384,1.3425,1.3250,1.3380,1028559,0.005599,0.002368,0.003230,57.32,84.80,79.51,1.3223,1.3141,0.0157,0.0239,42,0,0
08/23/2013,16:00,1.3382,1.3497,1.3342,1.3427,996334,0.006757,0.003246,0.003511,58.69,88.27,84.99,1.3226,1.3152,0.0201,0.0275,43,0,0
08/30/2013,16:00,1.3426,1.3443,1.3216,1.3251,912589,0.006183,0.003833,0.002350,51.99,80.50,84.52,1.3233,1.3153,0.0018,0.0098,44,0,0
09/06/2013,16:00,1.3255,1.3270,1.3148,1.3225,731476,0.005455,0.004158,0.001298,51.06,71.96,80.24,1.3248,1.3156,0.0023,0.0069,45,0,0
09/13/2013,16:00,1.3218,1.3366,1.3208,1.3347,502950,0.005797,0.004486,0.001311,55.11,68.14,73.54,1.3296,1.3164,0.0051,0.0183,46,0,0
09/20/2013,16:00,1.3405,1.3610,1.3366,1.3561,888758,0.007705,0.005129,0.002576,61.17,78.69,72.93,1.3341,1.3173,0.0220,0.0388,47,0,0
09/27/2013,16:00,1.3576,1.3604,1.3501,1.3558,714882,0.009088,0.005921,0.003167,61.05,89.20,78.68,1.3379,1.3184,0.0179,0.0374,48,0,0
10/04/2013,16:00,1.3518,1.3686,1.3517,1.3595,894426,0.010364,0.006810,0.003554,62.07,92.36,86.75,1.3406,1.3194,0.0189,0.0401,49,0,0
10/11/2013,16:00,1.3600,1.3648,1.3525,1.3594,755856,0.011237,0.007695,0.003542,62.03,90.92,90.82,1.3432,1.3205,0.0162,0.0389,50,0,0
10/18/2013,16:00,1.3596,1.3744,1.3512,1.3718,886242,0.012782,0.008713,0.004070,65.55,91.58,91.62,1.3466,1.3222,0.0252,0.0496,51,0,0
10/25/2013,16:00,1.3723,1.3871,1.3690,1.3844,790737,0.014852,0.009941,0.004912,68.72,93.74,92.08,1.3512,1.3243,0.0332,0.0601,52,0,0
11/01/2013,16:00,1.3846,1.3856,1.3517,1.3530,1051699,0.013800,0.010713,0.003088,55.10,81.68,89.00,1.3522,1.3257,0.0008,0.0273,53,0,0
11/08/2013,16:00,1.3527,1.3586,1.3331,1.3393,1214557,0.011726,0.010915,0.000811,50.40,61.00,78.81,1.3536,1.3264,0.0143,0.0129,54,0,0
11/15/2013,16:00,1.3395,1.3544,1.3383,1.3527,914187,0.011036,0.010939,0.000096,54.49,46.38,63.02,1.3567,1.3273,0.0040,0.0254,55,0,0
11/22/2013,16:00,1.3530,1.3619,1.3437,1.3588,991790,0.010856,0.010923,-0.000067,56.25,49.05,52.14,1.3591,1.3285,0.0003,0.0303,56,0,0
11/29/2013,16:00,1.3591,1.3660,1.3527,1.3624,656768,0.010879,0.010914,-0.000035,57.31,59.70,51.71,1.3597,1.3293,0.0027,0.0331,57,0,0
12/06/2013,16:00,1.3625,1.3746,1.3561,1.3733,1117980,0.011642,0.011059,0.000582,60.41,69.20,59.32,1.3615,1.3303,0.0118,0.0430,58,0,0
12/13/2013,16:00,1.3750,1.3849,1.3733,1.3772,550429,0.012418,0.011331,0.001087,61.49,77.05,68.65,1.3632,1.3312,0.0140,0.0460,59,0,0
12/20/2013,16:00,1.3776,1.3885,1.3664,1.3711,881385,0.012398,0.011545,0.000854,58.79,78.81,75.02,1.3644,1.3324,0.0067,0.0387,60,0,0
12/27/2013,16:00,1.3709,1.3932,1.3693,1.3772,318261,0.012728,0.011781,0.000947,60.65,76.18,77.35,1.3649,1.3331,0.0123,0.0441,61,0,0
01/03/2014,16:00,1.3798,1.3858,1.3621,1.3637,490362,0.011765,0.011778,-0.000013,54.76,64.18,73.06,1.3629,1.3336,0.0008,0.0301,62,0,0
01/10/2014,16:00,1.3635,1.3726,1.3586,1.3699,1013857,0.011370,0.011696,-0.000326,56.83,61.84,67.40,1.3646,1.3340,0.0053,0.0359,63,0,0
01/17/2014,16:00,1.3705,1.3739,1.3554,1.3568,930989,0.009887,0.011334,-0.001448,51.46,50.53,58.85,1.3663,1.3337,0.0095,0.0231,64,0,0
01/24/2014,16:00,1.3569,1.3779,1.3545,1.3715,951304,0.009784,0.011024,-0.001240,56.44,54.85,55.74,1.3682,1.3342,0.0033,0.0373,65,0,0
01/31/2014,16:00,1.3720,1.3756,1.3518,1.3523,1168261,0.008061,0.010432,-0.002371,49.33,45.09,50.16,1.3675,1.3344,0.0152,0.0179,66,0,0
02/07/2014,16:00,1.3527,1.3685,1.3515,1.3667,1163870,0.007768,0.009899,-0.002131,54.01,50.58,50.18,1.3680,1.3353,0.0013,0.0314,67,0,0
02/14/2014,16:00,1.3663,1.3755,1.3601,1.3739,889604,0.008024,0.009524,-0.001500,56.19,50.49,48.72,1.3680,1.3366,0.0059,0.0373,68,0,0
02/21/2014,16:00,1.3741,1.3812,1.3719,1.3783,684802,0.008484,0.009316,-0.000832,57.51,63.10,54.72,1.3681,1.3381,0.0102,0.0402,69,0,0
02/28/2014,16:00,1.3778,1.3865,1.3682,1.3861,958982,0.009370,0.009327,0.000043,59.83,71.73,61.77,1.3696,1.3396,0.0165,0.0465,70,0,0
03/07/2014,16:00,1.3825,1.3954,1.3746,1.3911,851116,0.010356,0.009532,0.000824,61.29,80.53,71.79,1.3710,1.3413,0.0201,0.0498,71,0,0
03/14/2014,16:00,1.3913,1.4008,1.3874,1.3945,661587,0.011282,0.009882,0.001400,62.29,86.88,79.71,1.3741,1.3435,0.0204,0.0510,72,0,0
03/21/2014,16:00,1.3954,1.3989,1.3789,1.3834,828950,0.010993,0.010105,0.000889,57.09,80.35,82.59,1.3755,1.3450,0.0079,0.0384,73,0,0
03/28/2014,16:00,1.3840,1.3917,1.3744,1.3792,926066,0.010307,0.010145,0.000162,55.21,69.37,78.87,1.3777,1.3464,0.0015,0.0328,74,0,0
04/04/2014,16:00,1.3793,1.3860,1.3711,1.3742,958885,0.009253,0.009967,-0.000714,52.98,55.65,68.46,1.3780,1.3476,0.0038,0.0266,75,0,0
04/11/2014,16:00,1.3740,1.3945,1.3736,1.3927,668744,0.009797,0.009933,-0.000135,59.51,61.93,62.32,1.3820,1.3493,0.0107,0.0434,76,0,0
04/18/2014,16:00,1.3898,1.3906,1.3829,1.3859,497397,0.009570,0.009860,-0.000290,56.41,66.46,61.35,1.3839,1.3507,0.0020,0.0352,77,0,0
04/25/2014,16:00,1.3859,1.3896,1.3824,1.3876,558989,0.009418,0.009772,-0.000354,57.01,75.52,67.97,1.3853,1.3524,0.0023,0.0352,78,0,0
05/02/2014,16:00,1.3882,1.3930,1.3810,1.3912,815930,0.009479,0.009713,-0.000234,58.33,74.51,72.17,1.3866,1.3545,0.0046,0.0367,79,0,0
05/09/2014,16:00,1.3915,1.4035,1.3785,1.3787,967537,0.008422,0.009455,-0.001033,52.34,68.39,72.81,1.3858,1.3561,0.0071,0.0226,80,0,0
05/16/2014,16:00,1.3797,1.3815,1.3687,1.3739,813941,0.007114,0.008987,-0.001872,50.21,55.77,66.22,1.3841,1.3576,0.0102,0.0163,81,0,0
05/23/2014,16:00,1.3739,1.3776,1.3656,1.3668,665297,0.005443,0.008278,-0.002835,47.15,31.66,51.94,1.3814,1.3584,0.0146,0.0084,82,0,0
05/30/2014,16:00,1.3687,1.3710,1.3628,1.3676,575548,0.004135,0.007449,-0.003315,47.54,16.23,34.55,1.3798,1.3589,0.0122,0.0087,83,0,0
06/06/2014,16:00,1.3673,1.3719,1.3544,1.3689,1187584,0.003167,0.006593,-0.003426,48.20,16.05,21.31,1.3787,1.3599,0.0098,0.0090,84,0,0
06/13/2014,16:00,1.3689,1.3710,1.3556,1.3578,584119,0.001486,0.005571,-0.004085,43.17,16.34,16.21,1.3771,1.3610,0.0193,0.0032,85,0,0
06/20/2014,16:00,1.3584,1.3688,1.3557,1.3636,697533,0.000616,0.004580,-0.003964,46.33,18.40,16.93,1.3742,1.3625,0.0106,0.0011,86,0,0
06/27/2014,16:00,1.3637,1.3696,1.3617,1.3689,704885,0.000350,0.003734,-0.003385,49.10,18.40,17.71,1.3725,1.3636,0.0036,0.0053,87,0,0
07/04/2014,16:00,1.3689,1.3745,1.3639,1.3646,533732,-0.000206,0.002946,-0.003152,46.98,23.01,19.94,1.3702,1.3646,0.0056,0.0000,88,0,0
07/11/2014,16:00,1.3651,1.3694,1.3619,1.3652,623131,-0.000591,0.002239,-0.002830,47.32,24.10,21.84,1.3676,1.3652,0.0024,0.0000,89,0,0
