"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
07/16/2012,16:00,1.2338,1.2383,1.2266,1.2368,211953,-0.010518,-0.008724,-0.001794,39.13,14.14,8.55,1.2428,1.2674,0.0060,0.0306,0,68,1
07/17/2012,16:00,1.2363,1.2409,1.2279,1.2379,264786,-0.010151,-0.009010,-0.001141,39.95,20.11,14.00,1.2398,1.2657,0.0019,0.0278,0,69,1
07/18/2012,16:00,1.2382,1.2399,1.2307,1.2354,214863,-0.009947,-0.009197,-0.000750,38.67,21.43,18.56,1.2363,1.2641,0.0009,0.0287,0,70,1
07/19/2012,16:00,1.2374,1.2417,1.2319,1.2369,255789,-0.009554,-0.009268,-0.000286,39.91,21.49,21.01,1.2352,1.2626,0.0017,0.0257,0,71,1
07/20/2012,16:00,1.2368,1.2374,1.2235,1.2250,245281,-0.010087,-0.009432,-0.000655,34.02,14.56,19.16,1.2340,1.2610,0.0090,0.0360,0,72,1
07/23/2012,16:00,1.2214,1.2236,1.2158,1.2217,284732,-0.010652,-0.009676,-0.000976,32.58,11.70,15.92,1.2322,1.2594,0.0105,0.0377,0,73,1
07/24/2012,16:00,1.2207,1.2229,1.2133,1.2153,240980,-0.011485,-0.010038,-0.001447,29.94,5.66,10.64,1.2303,1.2576,0.0150,0.0423,0,74,1
07/25/2012,16:00,1.2153,1.2261,1.2143,1.2249,281130,-0.011240,-0.010278,-0.000962,38.05,13.05,10.14,1.2296,1.2562,0.0047,0.0313,0,75,1
07/26/2012,16:00,1.2240,1.2419,1.2206,1.2375,338189,-0.009915,-0.010206,0.000290,46.77,30.86,16.52,1.2305,1.2553,0.0070,0.0178,0,76,1
07/27/2012,16:00,1.2367,1.2479,1.2329,1.2399,348129,-0.008573,-0.009879,0.001306,48.26,62.21,35.37,1.2311,1.2545,0.0088,0.0146,0,77,1
07/30/2012,16:00,1.2392,1.2399,1.2315,1.2351,182033,-0.007806,-0.009464,0.001658,45.51,73.63,55.57,1.2310,1.2535,0.0041,0.0184,0,78,1
07/31/2012,16:00,1.2347,1.2420,1.2338,1.2395,221689,-0.006766,-0.008925,0.002159,48.41,71.87,69.24,1.2311,1.2526,0.0084,0.0131,0,79,1
08/01/2012,16:00,1.2388,1.2426,1.2307,1.2325,211572,-0.006432,-0.008426,0.001994,44.37,64.74,70.08,1.2308,1.2515,0.0017,0.0190,0,80,1
08/02/2012,16:00,1.2318,1.2495,1.2222,1.2262,478120,-0.006599,-0.008061,0.001461,41.04,55.31,63.97,1.2298,1.2504,0.0036,0.0242,0,81,1
08/03/2012,16:00,1.2270,1.2481,1.2255,1.2464,300265,-0.005044,-0.007457,0.002413,53.16,60.93,60.33,1.2319,1.2500,0.0145,0.0036,0,82,1
08/06/2012,16:00,1.2480,1.2532,1.2429,1.2482,209578,-0.003624,-0.006691,0.003066,54.07,72.04,62.76,1.2346,1.2497,0.0136,0.0015,0,83,1
08/07/2012,16:00,1.2484,1.2530,1.2463,1.2499,172830,-0.002335,-0.005820,0.003484,54.96,90.17,74.38,1.2380,1.2495,0.0119,0.0004,0,84,1
08/08/2012,16:00,1.2485,1.2489,1.2413,1.2442,185922,-0.001753,-0.005006,0.003253,51.38,85.55,82.59,1.2399,1.2492,0.0043,0.0050,0,85,1
08/09/2012,16:00,1.2452,1.2474,1.2352,1.2382,189274,-0.001756,-0.004356,0.002600,47.84,77.19,84.30,1.2400,1.2490,0.0018,0.0108,0,86,1
08/10/2012,16:00,1.2391,1.2404,1.2327,1.2379,167683,-0.001762,-0.003838,0.002075,47.67,67.17,76.64,1.2398,1.2488,0.0019,0.0109,0,87,1
